epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
85/299,10.9G,0.04087,0.009297,0,0.05017,157,640,0.8861,0.8632,0.914,0.5266,0.06342,0.01911,0
86/299,10.9G,0.04092,0.009576,0,0.0505,183,640,0.9101,0.8608,0.8991,0.5301,0.06536,0.01866,0
87/299,10.9G,0.04008,0.009819,0,0.0499,224,640,0.8822,0.8655,0.9024,0.5413,0.0641,0.01857,0
88/299,10.9G,0.03964,0.009789,0,0.04943,166,640,0.899,0.8396,0.8825,0.5167,0.06638,0.01968,0
89/299,10.9G,0.04002,0.01001,0,0.05004,228,640,0.8918,0.8396,0.8933,0.5248,0.06536,0.02041,0
90/299,10.9G,0.03915,0.009572,0,0.04873,177,640,0.9213,0.856,0.912,0.5453,0.065,0.01852,0
91/299,10.9G,0.03816,0.00944,0,0.0476,188,640,0.9092,0.8774,0.912,0.546,0.0623,0.01833,0
92/299,10.9G,0.03849,0.009714,0,0.04821,194,640,0.9113,0.8491,0.9048,0.5245,0.06204,0.01878,0
93/299,10.9G,0.03772,0.009912,0,0.04763,217,640,0.9059,0.8656,0.9037,0.529,0.06283,0.01896,0
94/299,10.9G,0.0373,0.009474,0,0.04678,192,640,0.9267,0.865,0.9261,0.5547,0.06285,0.01929,0
95/299,10.9G,0.03878,0.009839,0,0.04861,211,640,0.8902,0.8632,0.9237,0.572,0.06282,0.01887,0
96/299,10.9G,0.03723,0.009338,0,0.04656,173,640,0.8509,0.875,0.9154,0.547,0.06326,0.01886,0
97/299,10.9G,0.03806,0.009177,0,0.04723,155,640,0.8696,0.8703,0.9184,0.5513,0.06376,0.01891,0
98/299,10.9G,0.03822,0.009732,0,0.04796,169,640,0.903,0.8558,0.9157,0.5579,0.06513,0.01806,0
99/299,10.9G,0.03929,0.009155,0,0.04845,206,640,0.9254,0.8489,0.9106,0.5556,0.06638,0.01971,0
100/299,10.9G,0.03719,0.009154,0,0.04634,222,640,0.927,0.8703,0.9372,0.5714,0.06487,0.0184,0
101/299,10.9G,0.03751,0.008845,0,0.04635,195,640,0.9233,0.8796,0.9338,0.5774,0.06315,0.01801,0
102/299,10.9G,0.03612,0.009485,0,0.04561,164,640,0.8884,0.9057,0.931,0.5624,0.06278,0.01817,0
103/299,10.9G,0.03563,0.009785,0,0.04541,210,640,0.8884,0.9009,0.9229,0.5722,0.06332,0.01769,0
104/299,10.9G,0.03709,0.00906,0,0.04615,158,640,0.9189,0.8868,0.934,0.5781,0.06233,0.01798,0
105/299,10.9G,0.03645,0.009214,0,0.04566,235,640,0.9386,0.8679,0.9394,0.5888,0.06196,0.01818,0
106/299,10.9G,0.03577,0.008953,0,0.04473,173,640,0.9341,0.875,0.9376,0.5714,0.0633,0.01839,0
107/299,10.9G,0.03529,0.008843,0,0.04413,176,640,0.9077,0.8844,0.9273,0.5653,0.06377,0.01825,0
108/299,10.9G,0.03586,0.009281,0,0.04514,204,640,0.9158,0.8821,0.9328,0.5906,0.06253,0.01779,0
109/299,10.9G,0.03586,0.008947,0,0.0448,181,640,0.9067,0.8938,0.9269,0.5855,0.06027,0.01866,0
110/299,10.9G,0.03441,0.00922,0,0.04363,191,640,0.9083,0.8892,0.9262,0.5857,0.0593,0.01878,0
111/299,10.9G,0.0351,0.00906,0,0.04416,219,640,0.9315,0.8655,0.9243,0.5694,0.06007,0.01923,0
112/299,10.9G,0.03515,0.009077,0,0.04423,155,640,0.8822,0.8868,0.9248,0.5827,0.05945,0.01984,0
113/299,10.9G,0.03458,0.008784,0,0.04337,189,640,0.9098,0.8915,0.9314,0.5866,0.05963,0.01875,0
114/299,10.9G,0.03445,0.009054,0,0.0435,189,640,0.95,0.8561,0.9339,0.5977,0.0599,0.01901,0
115/299,10.9G,0.03446,0.008531,0,0.043,197,640,0.9376,0.8867,0.9418,0.5992,0.06098,0.01869,0
116/299,10.9G,0.03364,0.009096,0,0.04274,186,640,0.8928,0.9033,0.943,0.5994,0.06134,0.01877,0
117/299,10.9G,0.03369,0.00914,0,0.04283,224,640,0.9293,0.8679,0.9385,0.5915,0.06103,0.01878,0
118/299,10.9G,0.03389,0.008658,0,0.04255,218,640,0.9203,0.8986,0.9417,0.5986,0.06148,0.01902,0
119/299,10.9G,0.03393,0.00881,0,0.04274,155,640,0.9042,0.9125,0.9396,0.592,0.06214,0.01816,0
120/299,10.9G,0.03442,0.00918,0,0.0436,222,640,0.9192,0.8868,0.941,0.591,0.06176,0.01815,0
121/299,10.9G,0.03276,0.008609,0,0.04137,206,640,0.9275,0.8745,0.9419,0.5919,0.0621,0.01808,0
122/299,10.9G,0.03274,0.009135,0,0.04187,188,640,0.9328,0.8842,0.9423,0.5879,0.06164,0.01793,0
123/299,10.9G,0.03386,0.008616,0,0.04248,180,640,0.9345,0.8748,0.948,0.6118,0.06147,0.0186,0
124/299,10.9G,0.03301,0.008512,0,0.04152,172,640,0.915,0.889,0.9479,0.6025,0.0613,0.01804,0
125/299,10.9G,0.03352,0.008905,0,0.04242,205,640,0.9265,0.8939,0.9439,0.6011,0.06017,0.01795,0
126/299,10.9G,0.03308,0.00838,0,0.04146,184,640,0.935,0.8821,0.9445,0.6064,0.06058,0.01801,0
127/299,10.9G,0.03336,0.008541,0,0.04191,180,640,0.9053,0.9245,0.9468,0.6104,0.06147,0.01833,0
128/299,10.9G,0.03303,0.008728,0,0.04175,190,640,0.9129,0.9151,0.9513,0.6051,0.0604,0.01845,0
129/299,10.9G,0.03339,0.008408,0,0.0418,164,640,0.9185,0.9033,0.9476,0.6099,0.06001,0.0181,0
130/299,10.9G,0.03418,0.008698,0,0.04288,202,640,0.8914,0.9292,0.9468,0.6255,0.06052,0.01811,0
131/299,10.9G,0.03483,0.008336,0,0.04317,171,640,0.9245,0.8962,0.9401,0.605,0.0603,0.01889,0
132/299,10.9G,0.03316,0.008516,0,0.04168,186,640,0.9149,0.9126,0.9502,0.6139,0.05957,0.01839,0
133/299,10.9G,0.02995,0.00831,0,0.03826,210,640,0.908,0.908,0.9408,0.598,0.05996,0.01821,0
134/299,10.9G,0.0356,0.008496,0,0.0441,201,640,0.9105,0.8939,0.9348,0.5931,0.06102,0.01944,0
135/299,10.9G,0.03392,0.008581,0,0.0425,188,640,0.9223,0.8678,0.9335,0.5764,0.06319,0.01835,0
136/299,10.9G,0.03365,0.008501,0,0.04215,196,640,0.94,0.8868,0.9447,0.6192,0.06039,0.018,0
137/299,10.9G,0.03321,0.008682,0,0.04189,200,640,0.9131,0.9172,0.9522,0.6163,0.05853,0.01826,0
138/299,10.9G,0.03308,0.008732,0,0.04181,174,640,0.9685,0.8797,0.9536,0.6138,0.05833,0.01885,0
139/299,10.9G,0.03421,0.008261,0,0.04247,180,640,0.9253,0.908,0.9519,0.6086,0.05875,0.01865,0
140/299,10.9G,0.03378,0.008906,0,0.04268,211,640,0.9174,0.9175,0.9453,0.6127,0.05788,0.01852,0
141/299,10.9G,0.03368,0.008611,0,0.04229,175,640,0.9186,0.9055,0.9429,0.6126,0.05893,0.01863,0
142/299,10.9G,0.03146,0.008556,0,0.04002,200,640,0.9256,0.8821,0.9334,0.6042,0.06005,0.01916,0
143/299,10.9G,0.03174,0.008548,0,0.04029,178,640,0.8953,0.9079,0.9452,0.619,0.05939,0.0191,0
144/299,10.9G,0.03188,0.008599,0,0.04048,184,640,0.9205,0.9033,0.9514,0.6227,0.05866,0.01931,0
145/299,10.9G,0.03237,0.007772,0,0.04014,176,640,0.9242,0.8915,0.9465,0.6143,0.05878,0.01912,0
146/299,10.9G,0.0319,0.008681,0,0.04058,231,640,0.9307,0.8868,0.9521,0.6205,0.05847,0.01858,0
147/299,10.9G,0.03297,0.007964,0,0.04094,199,640,0.9275,0.905,0.9494,0.6112,0.05883,0.01831,0
148/299,10.9G,0.03049,0.00867,0,0.03916,215,640,0.9353,0.8892,0.9527,0.6068,0.0597,0.018,0
149/299,10.9G,0.03182,0.008641,0,0.04046,210,640,0.9279,0.9103,0.956,0.6178,0.0584,0.01868,0
150/299,10.9G,0.03161,0.008862,0,0.04047,205,640,0.9144,0.9104,0.9558,0.6184,0.05864,0.01867,0
151/299,10.9G,0.03187,0.008287,0,0.04015,179,640,0.9203,0.8985,0.943,0.6162,0.05991,0.01846,0
152/299,10.9G,0.0321,0.008261,0,0.04036,205,640,0.9404,0.8938,0.9478,0.6097,0.05831,0.01885,0
153/299,10.9G,0.03058,0.008525,0,0.0391,212,640,0.9302,0.9127,0.9558,0.6239,0.05705,0.01869,0
154/299,10.9G,0.03164,0.008239,0,0.03988,210,640,0.9289,0.9245,0.9552,0.6199,0.05749,0.01859,0
155/299,10.9G,0.03097,0.008543,0,0.03951,189,640,0.924,0.9174,0.9555,0.6341,0.058,0.01839,0
156/299,10.9G,0.03028,0.008326,0,0.03861,192,640,0.9118,0.9269,0.96,0.625,0.05789,0.01851,0
157/299,10.9G,0.03279,0.008299,0,0.04109,205,640,0.9541,0.8844,0.9524,0.6171,0.05828,0.0184,0
158/299,10.9G,0.0316,0.008041,0,0.03964,184,640,0.9228,0.9033,0.9477,0.6204,0.05748,0.01899,0
159/299,10.9G,0.03176,0.008149,0,0.03991,207,640,0.9383,0.8679,0.9342,0.6079,0.05925,0.01885,0
160/299,10.9G,0.03057,0.00775,0,0.03832,192,640,0.9586,0.875,0.9475,0.6178,0.05715,0.0183,0
161/299,10.9G,0.03039,0.007968,0,0.03836,181,640,0.9456,0.9033,0.957,0.6298,0.05686,0.01846,0
