epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
67/299,17.4G,0.0448,0.01113,0,0.05593,233,640,0.8211,0.684,0.8097,0.399,0.07317,0.0189,0
68/299,17.4G,0.04418,0.01102,0,0.05521,209,640,0.8022,0.691,0.7945,0.3945,0.0696,0.02073,0
69/299,17.4G,0.04488,0.01081,0,0.05569,188,640,0.7983,0.7665,0.8303,0.4437,0.0684,0.01981,0
70/299,17.4G,0.04506,0.01124,0,0.0563,197,640,0.7971,0.6604,0.7149,0.3516,0.06986,0.02206,0
71/299,17.4G,0.04379,0.01137,0,0.05515,185,640,0.7633,0.6922,0.7295,0.3825,0.06846,0.02172,0
72/299,17.4G,0.04426,0.01051,0,0.05477,180,640,0.7811,0.7335,0.7842,0.4126,0.06511,0.02139,0
73/299,17.4G,0.04559,0.01059,0,0.05618,201,640,0.8384,0.7972,0.8496,0.4797,0.067,0.01932,0
74/299,17.4G,0.042,0.01069,0,0.05269,213,640,0.8761,0.7193,0.8419,0.4262,0.06867,0.01931,0
75/299,17.4G,0.04242,0.01027,0,0.05269,171,640,0.8552,0.7802,0.8519,0.4612,0.0683,0.01921,0
76/299,17.4G,0.04361,0.01049,0,0.0541,196,640,0.8256,0.804,0.8503,0.4805,0.0688,0.01931,0
77/299,17.4G,0.04373,0.01039,0,0.05412,170,640,0.8258,0.8208,0.8469,0.4617,0.06935,0.01879,0
78/299,17.4G,0.04269,0.00985,0,0.05254,187,640,0.9035,0.7946,0.8817,0.4941,0.06984,0.01858,0
79/299,17.4G,0.04077,0.01,0,0.05077,212,640,0.8875,0.8019,0.868,0.4904,0.06746,0.01884,0
80/299,17.4G,0.0422,0.0104,0,0.05259,204,640,0.7755,0.7995,0.8168,0.4235,0.06812,0.02103,0
81/299,17.4G,0.0436,0.01013,0,0.05373,200,640,0.8761,0.7335,0.8468,0.4779,0.06524,0.02166,0
82/299,17.4G,0.04189,0.01066,0,0.05256,208,640,0.8667,0.8278,0.8913,0.5192,0.06403,0.01912,0
83/299,17.4G,0.04181,0.01023,0,0.05204,238,640,0.9014,0.8255,0.8882,0.5138,0.0637,0.01906,0
84/299,17.4G,0.04167,0.01036,0,0.05203,185,640,0.8835,0.7783,0.8783,0.4863,0.06509,0.01994,0
85/299,17.4G,0.03955,0.009886,0,0.04943,157,640,0.8791,0.8255,0.9027,0.5316,0.06565,0.01948,0
86/299,17.4G,0.04098,0.01007,0,0.05105,183,640,0.9261,0.7712,0.8855,0.5193,0.06622,0.01884,0
87/299,17.4G,0.04008,0.01035,0,0.05043,224,640,0.8628,0.8632,0.9055,0.5357,0.06536,0.01834,0
88/299,17.4G,0.03867,0.01031,0,0.04898,166,640,0.8864,0.7925,0.8688,0.4918,0.06687,0.01847,0
89/299,17.4G,0.04013,0.01045,0,0.05057,228,640,0.8784,0.8349,0.9121,0.525,0.06606,0.01847,0
90/299,17.4G,0.03979,0.01011,0,0.04989,177,640,0.8778,0.83,0.8988,0.5321,0.06647,0.01797,0
91/299,17.4G,0.03839,0.009942,0,0.04833,188,640,0.9162,0.8255,0.9112,0.5485,0.06573,0.01855,0
92/299,17.4G,0.03753,0.01007,0,0.0476,194,640,0.9058,0.8396,0.9121,0.5463,0.06539,0.01812,0
93/299,17.4G,0.03823,0.0103,0,0.04853,217,640,0.9247,0.842,0.9154,0.55,0.06493,0.01808,0
94/299,17.4G,0.03802,0.009862,0,0.04789,192,640,0.9333,0.7921,0.9076,0.533,0.06707,0.01814,0
95/299,17.4G,0.03805,0.01032,0,0.04837,211,640,0.8985,0.8556,0.9156,0.5546,0.06485,0.01766,0
96/299,17.4G,0.03633,0.009644,0,0.04597,173,640,0.8613,0.8939,0.9206,0.5554,0.06393,0.01834,0
97/299,17.4G,0.03748,0.009588,0,0.04707,155,640,0.8902,0.8796,0.915,0.5331,0.06361,0.01888,0
98/299,17.4G,0.03758,0.01024,0,0.04782,169,640,0.8679,0.8844,0.9225,0.5612,0.06256,0.01877,0
99/299,17.4G,0.03757,0.009753,0,0.04732,206,640,0.899,0.8608,0.9203,0.5622,0.06208,0.01959,0
100/299,17.4G,0.03733,0.009832,0,0.04716,222,640,0.8732,0.8892,0.9191,0.5493,0.06286,0.01898,0
101/299,17.4G,0.03687,0.009447,0,0.04632,195,640,0.9061,0.8651,0.9186,0.5694,0.06336,0.01873,0
102/299,17.4G,0.03559,0.0101,0,0.04569,164,640,0.9236,0.8559,0.9268,0.5698,0.06249,0.01833,0
103/299,17.4G,0.03674,0.01019,0,0.04693,210,640,0.8928,0.8841,0.9318,0.566,0.06237,0.01853,0
104/299,17.4G,0.03667,0.009795,0,0.04646,158,640,0.8772,0.8939,0.9263,0.5602,0.06293,0.01825,0
105/299,17.4G,0.03531,0.009847,0,0.04516,235,640,0.8933,0.8892,0.9287,0.5589,0.06303,0.01835,0
106/299,17.4G,0.03574,0.009609,0,0.04534,173,640,0.9132,0.8443,0.924,0.5698,0.06373,0.01841,0
107/299,17.4G,0.03618,0.009338,0,0.04552,176,640,0.9406,0.8584,0.9331,0.5625,0.06319,0.01848,0
108/299,17.4G,0.03636,0.009805,0,0.04616,204,640,0.8973,0.8892,0.9288,0.5761,0.06325,0.01889,0
109/299,17.4G,0.03694,0.009416,0,0.04635,181,640,0.8923,0.8797,0.9309,0.5669,0.06291,0.01835,0
110/299,17.4G,0.03516,0.009792,0,0.04495,191,640,0.9127,0.8703,0.9297,0.5764,0.06146,0.01872,0
111/299,17.4G,0.03456,0.009615,0,0.04418,219,640,0.8721,0.8843,0.934,0.5831,0.06169,0.01888,0
112/299,17.4G,0.03615,0.009642,0,0.0458,155,640,0.9347,0.8437,0.9282,0.5711,0.06213,0.01903,0
113/299,17.4G,0.03699,0.009552,0,0.04654,189,640,0.8825,0.8868,0.932,0.577,0.06275,0.01918,0
114/299,17.4G,0.03543,0.009859,0,0.04529,189,640,0.9076,0.9033,0.9396,0.5758,0.06192,0.0193,0
115/299,17.4G,0.03602,0.008981,0,0.045,197,640,0.9081,0.8868,0.9299,0.561,0.06221,0.01952,0
116/299,17.4G,0.03462,0.009858,0,0.04448,186,640,0.9123,0.8632,0.937,0.576,0.06217,0.01872,0
117/299,17.4G,0.03454,0.009951,0,0.04449,224,640,0.8854,0.8939,0.9364,0.5872,0.06118,0.01872,0
118/299,17.4G,0.03443,0.009328,0,0.04376,218,640,0.9313,0.863,0.9291,0.5861,0.06238,0.01853,0
119/299,17.4G,0.03419,0.00949,0,0.04368,155,640,0.8897,0.8938,0.9315,0.5737,0.06277,0.01824,0
120/299,17.4G,0.03569,0.009749,0,0.04544,222,640,0.9312,0.8349,0.9256,0.5755,0.06324,0.01852,0
121/299,17.4G,0.03431,0.00933,0,0.04364,206,640,0.9249,0.9009,0.9461,0.5931,0.06128,0.01883,0
122/299,17.4G,0.03406,0.009698,0,0.04376,188,640,0.9027,0.8986,0.9366,0.5873,0.06038,0.0186,0
123/299,17.4G,0.03469,0.009175,0,0.04387,180,640,0.9198,0.8679,0.9298,0.5857,0.06032,0.01958,0
124/299,17.4G,0.03494,0.009181,0,0.04412,172,640,0.9183,0.875,0.935,0.5893,0.0617,0.01869,0
125/299,17.4G,0.03515,0.009708,0,0.04486,205,640,0.9181,0.8726,0.9378,0.5838,0.06,0.01819,0
