epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
164/299,17.7G,0.03146,0.005947,0,0.03741,41,640,0.7393,0.5377,0.67,0.3512,0.06799,0.04036,0
165/299,17.7G,0.03046,0.006203,0,0.03666,36,640,0.7184,0.5097,0.6438,0.3281,0.06847,0.04136,0
166/299,17.7G,0.02971,0.006072,0,0.03578,50,640,0.7248,0.4942,0.6382,0.322,0.06841,0.04233,0
167/299,17.7G,0.03007,0.005625,0,0.03569,36,640,0.8373,0.4777,0.6838,0.3355,0.06814,0.03987,0
168/299,17.7G,0.03064,0.005698,0,0.03634,37,640,0.523,0.7669,0.7092,0.3512,0.06723,0.03918,0
169/299,17.7G,0.02809,0.005737,0,0.03382,48,640,0.5987,0.648,0.7231,0.3602,0.06704,0.03918,0
170/299,17.7G,0.02674,0.005896,0,0.03264,46,640,0.8387,0.498,0.7162,0.3687,0.06704,0.0415,0
171/299,17.7G,0.02944,0.005879,0,0.03532,50,640,0.8544,0.4961,0.6942,0.3534,0.06717,0.04309,0
172/299,17.7G,0.02944,0.005605,0,0.03504,26,640,0.8344,0.5068,0.6854,0.3559,0.06638,0.04323,0
173/299,17.7G,0.02867,0.005827,0,0.0345,39,640,0.8108,0.5222,0.6736,0.3619,0.06649,0.0435,0
174/299,17.7G,0.03114,0.005787,0,0.03693,25,640,0.8288,0.5155,0.6686,0.3583,0.06665,0.04344,0
175/299,17.7G,0.03116,0.005666,0,0.03683,56,640,0.7378,0.5232,0.653,0.3466,0.06688,0.04506,0
176/299,17.7G,0.03177,0.006116,0,0.03789,60,640,0.7318,0.5638,0.6613,0.3423,0.06711,0.04432,0
177/299,17.7G,0.02916,0.005551,0,0.03471,25,640,0.676,0.5648,0.6584,0.352,0.06557,0.04543,0
178/299,17.7G,0.03046,0.00558,0,0.03604,46,640,0.7333,0.5242,0.6551,0.3397,0.0648,0.045,0
179/299,17.7G,0.03054,0.005791,0,0.03634,32,640,0.7544,0.5484,0.7075,0.3635,0.06448,0.04272,0
180/299,17.7G,0.03079,0.005713,0,0.0365,31,640,0.5821,0.6364,0.6808,0.3565,0.06476,0.04386,0
181/299,17.7G,0.02885,0.005825,0,0.03467,46,640,0.741,0.4816,0.6372,0.3473,0.06614,0.0451,0
182/299,17.7G,0.03078,0.005796,0,0.03658,47,640,0.6188,0.5609,0.6178,0.3452,0.06668,0.04509,0
183/299,17.7G,0.02934,0.005763,0,0.0351,65,640,0.6311,0.5619,0.6425,0.3468,0.06594,0.04419,0
184/299,17.7G,0.03214,0.005806,0,0.03794,46,640,0.6158,0.6064,0.673,0.3504,0.06495,0.04292,0
185/299,17.7G,0.02861,0.005742,0,0.03435,38,640,0.8058,0.5337,0.6801,0.3459,0.06485,0.0424,0
186/299,17.7G,0.02901,0.005495,0,0.0345,29,640,0.8127,0.5203,0.6498,0.3421,0.06483,0.04405,0
187/299,17.7G,0.03104,0.005702,0,0.03675,40,640,0.7729,0.5145,0.6356,0.3432,0.06522,0.04459,0
