epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
143/299,12.8G,0.03477,0.006134,0,0.0409,52,640,0.7834,0.647,0.7396,0.3622,0.06795,0.02693,0
144/299,12.8G,0.0349,0.005672,0,0.04057,37,640,0.8622,0.6111,0.7449,0.3722,0.06632,0.02784,0
145/299,12.8G,0.03324,0.005944,0,0.03919,21,640,0.7848,0.7147,0.7645,0.3955,0.06187,0.02899,0
146/299,12.8G,0.03452,0.005703,0,0.04022,34,640,0.8107,0.6393,0.7388,0.3692,0.05918,0.03188,0
147/299,12.8G,0.03187,0.006092,0,0.03796,39,640,0.7898,0.6178,0.7262,0.3499,0.06012,0.03134,0
148/299,12.8G,0.03331,0.005793,0,0.0391,42,640,0.83,0.5967,0.735,0.3687,0.06078,0.03063,0
149/299,12.8G,0.03191,0.006262,0,0.03817,56,640,0.7818,0.6518,0.7408,0.3508,0.06028,0.03151,0
150/299,12.8G,0.03357,0.005964,0,0.03954,48,640,0.8537,0.5927,0.7296,0.3612,0.06056,0.0326,0
151/299,12.8G,0.03372,0.006064,0,0.03978,53,640,0.8608,0.6042,0.7387,0.3838,0.06018,0.03156,0
152/299,12.8G,0.0307,0.005526,0,0.03622,46,640,0.8221,0.587,0.7293,0.3753,0.05989,0.03218,0
153/299,12.8G,0.03217,0.005833,0,0.038,41,640,0.7726,0.6219,0.7558,0.3748,0.06111,0.0313,0
154/299,12.8G,0.03153,0.005688,0,0.03722,47,640,0.7975,0.5675,0.7312,0.3707,0.06203,0.03106,0
155/299,12.8G,0.03417,0.005553,0,0.03973,37,640,0.786,0.6489,0.7361,0.385,0.06149,0.03159,0
156/299,12.8G,0.03238,0.005868,0,0.03825,50,640,0.7454,0.6663,0.7216,0.3649,0.06084,0.03209,0
157/299,12.8G,0.03082,0.005961,0,0.03678,58,640,0.7735,0.6441,0.7391,0.3809,0.05979,0.03083,0
158/299,12.8G,0.03054,0.006211,0,0.03675,59,640,0.7285,0.675,0.7306,0.3681,0.0601,0.03093,0
159/299,12.8G,0.03036,0.005535,0,0.0359,42,640,0.6725,0.646,0.72,0.3612,0.05925,0.0324,0
160/299,12.8G,0.03135,0.006013,0,0.03736,54,640,0.681,0.647,0.7197,0.3672,0.05929,0.0322,0
161/299,12.8G,0.03256,0.005581,0,0.03814,49,640,0.8299,0.6209,0.7451,0.382,0.05972,0.03213,0
162/299,12.8G,0.0305,0.005441,0,0.03594,36,640,0.7053,0.7253,0.7402,0.3607,0.05812,0.03273,0
163/299,12.8G,0.03416,0.005675,0,0.03984,50,640,0.739,0.7066,0.7453,0.3683,0.05988,0.03157,0
164/299,12.8G,0.03047,0.005806,0,0.03627,50,640,0.822,0.661,0.7638,0.3776,0.05906,0.03196,0
165/299,12.8G,0.03013,0.005615,0,0.03574,47,640,0.7847,0.6054,0.7169,0.3537,0.05935,0.03398,0
166/299,12.8G,0.03185,0.005419,0,0.03727,34,640,0.7723,0.6402,0.7423,0.3683,0.06021,0.03157,0
167/299,12.8G,0.03141,0.005643,0,0.03706,41,640,0.7228,0.6315,0.7055,0.3476,0.05931,0.03185,0
168/299,12.8G,0.03281,0.00554,0,0.03835,47,640,0.6417,0.7224,0.721,0.3569,0.05835,0.03178,0
169/299,12.8G,0.03522,0.005861,0,0.04108,57,640,0.7013,0.6364,0.7099,0.3544,0.05807,0.03165,0
170/299,12.8G,0.03041,0.005954,0,0.03636,62,640,0.7427,0.6567,0.7252,0.3579,0.05777,0.03059,0
171/299,12.8G,0.03186,0.005695,0,0.03756,38,640,0.6674,0.6721,0.7173,0.3573,0.05762,0.03215,0
172/299,12.8G,0.0302,0.005907,0,0.03611,54,640,0.6943,0.6702,0.7062,0.3708,0.05813,0.03288,0
173/299,12.8G,0.03105,0.005728,0,0.03678,51,640,0.733,0.6159,0.6896,0.3607,0.05894,0.032,0
174/299,12.8G,0.03187,0.005687,0,0.03755,63,640,0.7112,0.6262,0.7023,0.3537,0.05837,0.03168,0
175/299,12.8G,0.03075,0.005434,0,0.03619,54,640,0.7584,0.6199,0.711,0.3612,0.05929,0.03171,0
176/299,12.8G,0.03371,0.005446,0,0.03916,28,640,0.7993,0.646,0.7604,0.3789,0.05973,0.03108,0
177/299,12.8G,0.03082,0.005508,0,0.03632,42,640,0.7737,0.6615,0.7664,0.3852,0.05948,0.02962,0
178/299,12.8G,0.03045,0.005382,0,0.03583,48,640,0.7988,0.5951,0.7338,0.3722,0.05825,0.03131,0
179/299,12.8G,0.03162,0.005445,0,0.03707,47,640,0.6913,0.6809,0.7277,0.3587,0.05718,0.03146,0
180/299,12.8G,0.0323,0.005905,0,0.0382,44,640,0.7987,0.5948,0.7332,0.3628,0.05867,0.03103,0
181/299,12.8G,0.02992,0.00582,0,0.03574,46,640,0.7015,0.7002,0.7279,0.3595,0.06003,0.03152,0
182/299,12.8G,0.02926,0.0058,0,0.03506,61,640,0.7141,0.6255,0.698,0.3557,0.05848,0.03116,0
