epoch,taille model,loss box,loss obj,cls,loss ,labels ? ,img-size,P (précision ?),R,mAP50,mAP50-95,?,?
111/299,12.8G,0.04895,0.00806,0,0.05701,219,640,0.9403,0.8912,0.9487,0.6301,0.06151,0.01861,0
112/299,12.8G,0.04764,0.008113,0,0.05575,155,640,0.9381,0.8938,0.948,0.6338,0.06154,0.01933,0
113/299,12.8G,0.05156,0.007868,0,0.05943,189,640,0.9168,0.9104,0.9508,0.6345,0.05993,0.01977,0
114/299,12.8G,0.0495,0.008195,0,0.0577,189,640,0.9393,0.8774,0.9527,0.6362,0.06092,0.01928,0
115/299,12.8G,0.05196,0.007538,0,0.0595,197,640,0.9372,0.8797,0.9529,0.6431,0.0594,0.01983,0
116/299,12.8G,0.04731,0.008185,0,0.05549,186,640,0.9349,0.8868,0.952,0.6271,0.06062,0.01975,0
117/299,12.8G,0.03983,0.008067,0,0.0479,224,640,0.9363,0.8679,0.9471,0.6137,0.06063,0.01967,0
118/299,12.8G,0.0476,0.007856,0,0.05546,218,640,0.9187,0.908,0.9501,0.631,0.05975,0.01997,0
119/299,12.8G,0.04868,0.008026,0,0.0567,155,640,0.9267,0.9244,0.956,0.6395,0.05946,0.01996,0
120/299,12.8G,0.04622,0.008236,0,0.05446,222,640,0.9272,0.9008,0.9552,0.6418,0.05997,0.01929,0
121/299,12.8G,0.04458,0.007784,0,0.05237,206,640,0.9447,0.8892,0.9525,0.6334,0.06026,0.01985,0
122/299,12.8G,0.04702,0.008088,0,0.05511,188,640,0.954,0.8844,0.9534,0.6227,0.06072,0.01979,0
123/299,12.8G,0.04654,0.007632,0,0.05417,180,640,0.9203,0.9009,0.9511,0.6316,0.05704,0.02081,0
124/299,12.8G,0.04275,0.00764,0,0.05039,172,640,0.9186,0.9053,0.9495,0.6282,0.05677,0.02073,0
125/299,12.8G,0.0466,0.008095,0,0.05469,205,640,0.9492,0.8818,0.9492,0.6237,0.05751,0.02055,0
126/299,12.8G,0.04424,0.007496,0,0.05174,184,640,0.9313,0.8962,0.9498,0.6288,0.05711,0.02096,0
127/299,12.8G,0.05147,0.007825,0,0.0593,180,640,0.9542,0.8844,0.9506,0.6285,0.0581,0.02041,0
128/299,12.8G,0.04948,0.007885,0,0.05737,190,640,0.9536,0.8726,0.948,0.6374,0.0603,0.01987,0
129/299,12.8G,0.05025,0.007729,0,0.05798,164,640,0.9377,0.8939,0.952,0.6391,0.06157,0.01924,0
130/299,12.8G,0.04584,0.00783,0,0.05368,202,640,0.9333,0.8913,0.9502,0.6279,0.0613,0.01924,0
131/299,12.8G,0.05149,0.007603,0,0.05909,171,640,0.9419,0.8797,0.9515,0.6277,0.05733,0.02055,0
132/299,12.8G,0.05134,0.00783,0,0.05917,186,640,0.9053,0.9244,0.9511,0.6331,0.05768,0.0202,0
133/299,12.8G,0.03851,0.007501,0,0.04601,210,640,0.9314,0.8962,0.9509,0.6372,0.05938,0.02002,0
